"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 24 17:54:48 MSK 2021","Sun Oct 24 17:54:48 MSK 2021","374","test.group","test_delete_random_group","","","","test_delete_random_group",""
"passed","Sun Oct 24 17:54:31 MSK 2021","Sun Oct 24 17:54:31 MSK 2021","2","test.contact","test_compare_contact_on_viewpage_and_db","","","","test_compare_db_homepage_contact",""
"failed","Sun Oct 24 17:54:29 MSK 2021","Sun Oct 24 17:54:31 MSK 2021","1467","test.contact","test_compare_contact","","","","test_compare_contact_on_viewpage[None:Natalia]",""
"passed","Sun Oct 24 17:54:51 MSK 2021","Sun Oct 24 17:54:52 MSK 2021","1169","test.group","test_modify_group","","","","test_modify_group_name",""
"failed","Sun Oct 24 17:54:47 MSK 2021","Sun Oct 24 17:54:48 MSK 2021","475","test.group","test_db_matches_ui","","","","test_group_list",""
"passed","Sun Oct 24 17:54:36 MSK 2021","Sun Oct 24 17:54:38 MSK 2021","2104","test.contact","test_phones","","","","test_phones_and_emails_on_home_page",""
"failed","Sun Oct 24 17:54:18 MSK 2021","Sun Oct 24 17:54:19 MSK 2021","973","test.contact","test_add_delete_contact_to_group","","","","test_add_contact_to_group",""
"broken","Sun Oct 24 17:54:38 MSK 2021","Sun Oct 24 17:54:39 MSK 2021","290","test.contact","test_phones","","","","test_phones_on_contact_view_page",""
"passed","Sun Oct 24 17:54:02 MSK 2021","Sun Oct 24 17:54:07 MSK 2021","5204","test.contact","test_add_contact","","","","test_add_contact[None:nameQmeECY5G]",""
"passed","Sun Oct 24 17:54:31 MSK 2021","Sun Oct 24 17:54:31 MSK 2021","691","test.contact","test_delete_random_contact","","","","test_delete_random_contact",""
"passed","Sun Oct 24 17:54:46 MSK 2021","Sun Oct 24 17:54:47 MSK 2021","1444","test.group","test_add_group","","","","test_add_group[None:namee5m FI ck;header y3s32h9 UFzTbc bO;footer7HG70SjMKEM]",""
"passed","Sun Oct 24 17:54:42 MSK 2021","Sun Oct 24 17:54:43 MSK 2021","1447","test.group","test_add_group","","","","test_add_group[None:namepff81;headerxlKlFxZiWr9r 2;footermQs z]",""
"passed","Sun Oct 24 17:54:45 MSK 2021","Sun Oct 24 17:54:46 MSK 2021","1454","test.group","test_add_group","","","","test_add_group[None:nameqZ2IwnS2A;headermaQnCg0y;footerLh]",""
"passed","Sun Oct 24 17:54:12 MSK 2021","Sun Oct 24 17:54:18 MSK 2021","5304","test.contact","test_add_contact","","","","test_add_contact[None:nameVUiJtYNlS]",""
"passed","Sun Oct 24 17:54:07 MSK 2021","Sun Oct 24 17:54:12 MSK 2021","5238","test.contact","test_add_contact","","","","test_add_contact[None:nameKD P]",""
"passed","Sun Oct 24 17:54:39 MSK 2021","Sun Oct 24 17:54:40 MSK 2021","1512","test.group","test_add_group","","","","test_add_group[None:;;]",""
"passed","Sun Oct 24 17:54:43 MSK 2021","Sun Oct 24 17:54:45 MSK 2021","1431","test.group","test_add_group","","","","test_add_group[None:nameX5i7h ;headerSWX5LMpIJiqc;footer mEgq DO]",""
"passed","Sun Oct 24 17:53:57 MSK 2021","Sun Oct 24 17:54:02 MSK 2021","4953","test.contact","test_add_contact","","","","test_add_contact[None:]",""
"passed","Sun Oct 24 17:54:19 MSK 2021","Sun Oct 24 17:54:20 MSK 2021","989","test.contact","test_add_delete_contact_to_group","","","","test_delete_contact_of_group",""
"passed","Sun Oct 24 17:54:20 MSK 2021","Sun Oct 24 17:54:26 MSK 2021","6372","test.contact","test_compare_contact","","","","test_compare_contact_on_homepage[None:Ivan]",""
"passed","Sun Oct 24 17:54:26 MSK 2021","Sun Oct 24 17:54:27 MSK 2021","1123","test.contact","test_compare_contact","","","","test_compare_contact_on_homepage[None:Natalia]",""
"passed","Sun Oct 24 17:54:40 MSK 2021","Sun Oct 24 17:54:42 MSK 2021","1424","test.group","test_add_group","","","","test_add_group[None:name f;headereyZgLn0o z 3;footer]",""
"failed","Sun Oct 24 17:54:28 MSK 2021","Sun Oct 24 17:54:29 MSK 2021","1501","test.contact","test_compare_contact","","","","test_compare_contact_on_viewpage[None:Ivan]",""
"passed","Sun Oct 24 17:54:31 MSK 2021","Sun Oct 24 17:54:36 MSK 2021","4636","test.contact","test_edit_random_contact","","","","test_edit_random_contact",""
"passed","Sun Oct 24 17:54:48 MSK 2021","Sun Oct 24 17:54:51 MSK 2021","2609","test.group","test_edit_first_group","","","","test_edit_first_group",""
